KEY_CODE,T000918001,T000918002,T000918003,T000918004,T000918005,T000918006,T000918007,T000918008,T000918009,T000918010,T000918011,T000918012,T000918013,T000918014,T000918015,T000918016,T000918017,T000918018,T000918019,T000918020,T000918021,T000918022,T000918023,T000918024,T000918025,T000918026,T000918027,T000918028,T000918029,T000918030,T000918031,T000918032,T000918033,T000918034,T000918035,T000918036,T000918037,T000918038,T000918039,T000918040
,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,íj-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,èó-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj
523500001,77,29,0,4,25,48,0,0,3,21,0,2,0,7,6,2,6,0,1,1239,605,0,56,549,634,0,0,83,307,0,13,0,112,45,3,69,0,2,897,342
523500002,25,6,0,6,0,19,0,0,0,6,0,5,1,0,1,4,0,0,2,117,41,0,41,0,76,0,0,0,34,0,22,4,0,2,9,0,0,5,85,32
523500003,35,4,0,3,1,31,0,0,0,8,0,4,0,1,3,0,12,0,3,453,19,0,18,1,434,0,0,0,211,0,24,0,16,8,0,166,0,9,159,294
523500004,93,14,0,10,4,79,0,0,2,25,3,6,1,14,10,4,10,0,4,950,110,0,77,33,840,0,0,17,301,17,16,5,214,50,14,136,0,70,469,475
523500011,22,5,0,4,1,17,0,0,2,4,0,2,0,2,3,0,4,0,0,361,17,0,11,6,344,0,0,167,24,0,6,0,11,28,0,108,0,0,219,142
523500012,44,12,0,7,5,32,0,0,2,7,0,2,2,6,7,1,3,0,2,537,113,0,56,57,424,0,0,35,142,0,4,10,45,156,1,20,0,11,264,273
523500013,42,11,0,7,4,31,0,0,1,7,0,7,2,0,3,2,6,0,3,300,78,0,46,32,222,0,0,26,65,0,18,6,0,5,13,80,0,9,174,119
523500014,114,15,0,7,8,99,0,0,3,30,2,5,2,19,16,8,6,1,7,1205,190,0,87,103,1015,0,0,39,355,6,16,3,139,252,78,41,2,84,619,576
523500021,93,18,0,12,6,75,0,0,5,21,0,8,1,15,11,1,8,0,5,1165,187,0,121,66,978,0,0,231,327,0,77,3,172,44,25,75,0,24,695,439
